,0
0,0.2997476734839482
1,0.06583190048347984
2,0.43166982043845964
3,0.05806785931664946
4,0.8413292781394764
5,0.07208798143416241
6,0.07679159819807486
7,0.13406408342942094
8,0.5561915657058423
9,0.05959298914197853
10,0.6778317399547461
11,0.18959728387713262
12,0.1223392597729335
13,0.4031834052887545
14,0.09941034056355494
15,0.12591861851801314
16,0.011138509535161377
17,0.06772414747298461
18,0.08809985376349876
19,0.10903072425497332
20,0.34870252368042837
21,0.8600378128236289
22,0.1550253032825648
23,0.05666183569920463
24,0.09474659461139778
25,0.3871846669202784
26,0.2913006446091111
27,0.317423242964666
28,0.18660512232118404
29,0.44526887268754356
30,0.14947179771043947
31,0.8836410086885158
32,0.030139070179791644
33,0.3461220306280815
34,0.08995609593639177
35,0.7266032949030167
36,0.22015579139639038
37,0.23191172475841654
38,0.23172143745367182
39,0.07264060195310584
40,0.775356054747306
41,0.24311231861163066
42,0.28427828053258003
43,0.06030037999814477
44,0.1195286832192783
45,0.4190319153836847
46,0.896588528777468
47,0.30744626313627993
48,0.15064985283729374
49,0.3121343093620148
50,0.36170829757358325
51,0.40020580824144286
52,0.15322724110699915
53,0.36050082290637175
54,0.19652465977190786
55,0.09850671509522257
56,0.7203303551641896
57,0.06563524706146161
58,0.25647520725271433
59,0.4690896945022446
60,0.19441771658289442
61,0.40883807765211055
62,0.21708378793952363
63,0.5813763286697042
64,0.4031563062115182
65,0.14667284830385818
66,0.8813988025543504
67,0.4585130965344005
68,0.18792981945021878
69,0.15339550114620032
70,0.42494658770513555
71,0.1718517778399076
72,0.226975177211453
73,0.3312184970066343
74,0.061095173209717794
75,0.1526320703437097
76,0.6961408594086588
77,0.8773011319540924
78,0.5684619227709511
79,0.5157571885240061
80,0.07639242274024109
81,0.04548461138151719
82,0.1280717337364988
83,0.4733734490187944
84,0.18215979182951583
85,0.03748535556292424
86,0.8458846201261653
87,0.08865439162532576
88,0.3557423692947381
89,0.16705313076611963
90,0.7083690277344545
91,0.03219859395862229
92,0.15365559582815375
93,0.09468533970959016
94,0.4281263351403861
95,0.26872783964646235
96,0.3153264523877138
97,0.11086103770397716
98,0.08065192792353762
99,0.12436751595101908
100,0.11833015361292615
101,0.33756278088840785
102,0.24444401465281196
103,0.8515574946537281
104,0.16629775249724452
